date,timeGrain,storyId,entityId,metricKey,metricLabel,value,unit,sourceType,sourceName,notes
2024-09-15,daily,grain_logistics,,receipts_bu_day,Daily Receipts,8200,bu/day,illustrative,Phase 2 synthetic series,Early harvest flow begins.
2024-09-15,daily,grain_logistics,,truck_turn_time_minutes,Truck Turn Time,41,minutes,illustrative,Phase 2 synthetic series,Service levels remain near baseline.
2024-09-15,daily,grain_logistics,,bin_capacity_utilization_pct,Bin Capacity Utilization,44,percent,illustrative,Phase 2 synthetic series,Storage pressure remains moderate.
2024-09-16,daily,grain_logistics,,receipts_bu_day,Daily Receipts,8600,bu/day,illustrative,Phase 2 synthetic series,Receipts build gradually.
2024-09-16,daily,grain_logistics,,truck_turn_time_minutes,Truck Turn Time,43,minutes,illustrative,Phase 2 synthetic series,Minor queue growth.
2024-09-16,daily,grain_logistics,,bin_capacity_utilization_pct,Bin Capacity Utilization,46,percent,illustrative,Phase 2 synthetic series,Utilization follows receipts higher.
2024-09-17,daily,grain_logistics,,receipts_bu_day,Daily Receipts,9100,bu/day,illustrative,Phase 2 synthetic series,Steady harvest ramp.
2024-09-17,daily,grain_logistics,,truck_turn_time_minutes,Truck Turn Time,45,minutes,illustrative,Phase 2 synthetic series,Still manageable for members.
2024-09-17,daily,grain_logistics,,bin_capacity_utilization_pct,Bin Capacity Utilization,48,percent,illustrative,Phase 2 synthetic series,Capacity remains comfortable.
2024-09-18,daily,grain_logistics,,receipts_bu_day,Daily Receipts,9800,bu/day,illustrative,Phase 2 synthetic series,Throughput increases with dry weather.
2024-09-18,daily,grain_logistics,,truck_turn_time_minutes,Truck Turn Time,47,minutes,illustrative,Phase 2 synthetic series,Turn time begins to drift upward.
2024-09-18,daily,grain_logistics,,bin_capacity_utilization_pct,Bin Capacity Utilization,51,percent,illustrative,Phase 2 synthetic series,Storage curve steepens.
2024-09-19,daily,grain_logistics,,receipts_bu_day,Daily Receipts,10500,bu/day,illustrative,Phase 2 synthetic series,Receipts rise ahead of a wetter window.
2024-09-19,daily,grain_logistics,,truck_turn_time_minutes,Truck Turn Time,52,minutes,illustrative,Phase 2 synthetic series,Queues start to form.
2024-09-19,daily,grain_logistics,,bin_capacity_utilization_pct,Bin Capacity Utilization,54,percent,illustrative,Phase 2 synthetic series,Capacity pressure remains below the watch line.
2024-09-20,daily,grain_logistics,,receipts_bu_day,Daily Receipts,11200,bu/day,illustrative,Phase 2 synthetic series,Higher volume coincides with more drying demand.
2024-09-20,daily,grain_logistics,,truck_turn_time_minutes,Truck Turn Time,58,minutes,illustrative,Phase 2 synthetic series,Service starts to slow materially.
2024-09-20,daily,grain_logistics,,bin_capacity_utilization_pct,Bin Capacity Utilization,58,percent,illustrative,Phase 2 synthetic series,Utilization continues climbing.
