date,timeGrain,storyId,entityId,metricKey,metricLabel,value,unit,sourceType,sourceName,notes
2024-05-06,weekly,precision_agronomy,demo_field_01,ndvi_anomaly_index,NDVI Anomaly Index,-0.02,index,illustrative,Phase 2 synthetic series,Emergence period stays close to baseline.
2024-05-06,weekly,precision_agronomy,demo_field_01,temp_deviation_f,Temperature Deviation,5.66,degF,real,Iowa Mesonet DSM weekly rollup,Average weekly departure from Mesonet climatology.
2024-05-06,weekly,precision_agronomy,demo_field_01,precip_deviation_in,Precipitation Deviation,-0.04,inches,real,Iowa Mesonet DSM weekly rollup,Cumulative weekly precipitation minus climatology.
2024-05-13,weekly,precision_agronomy,demo_field_01,ndvi_anomaly_index,NDVI Anomaly Index,0.01,index,illustrative,Phase 2 synthetic series,Early vigor improves with warm conditions.
2024-05-13,weekly,precision_agronomy,demo_field_01,temp_deviation_f,Temperature Deviation,6.39,degF,real,Iowa Mesonet DSM weekly rollup,Average weekly departure from Mesonet climatology.
2024-05-13,weekly,precision_agronomy,demo_field_01,precip_deviation_in,Precipitation Deviation,-0.25,inches,real,Iowa Mesonet DSM weekly rollup,Cumulative weekly precipitation minus climatology.
2024-05-20,weekly,precision_agronomy,demo_field_01,ndvi_anomaly_index,NDVI Anomaly Index,0.03,index,illustrative,Phase 2 synthetic series,Positive anomaly during rapid vegetative growth.
2024-05-20,weekly,precision_agronomy,demo_field_01,temp_deviation_f,Temperature Deviation,3.15,degF,real,Iowa Mesonet DSM weekly rollup,Average weekly departure from Mesonet climatology.
2024-05-20,weekly,precision_agronomy,demo_field_01,precip_deviation_in,Precipitation Deviation,1.38,inches,real,Iowa Mesonet DSM weekly rollup,Cumulative weekly precipitation minus climatology.
2024-05-27,weekly,precision_agronomy,demo_field_01,ndvi_anomaly_index,NDVI Anomaly Index,0.04,index,illustrative,Phase 2 synthetic series,Strong early canopy development.
2024-05-27,weekly,precision_agronomy,demo_field_01,temp_deviation_f,Temperature Deviation,1.07,degF,real,Iowa Mesonet DSM weekly rollup,Average weekly departure from Mesonet climatology.
2024-05-27,weekly,precision_agronomy,demo_field_01,precip_deviation_in,Precipitation Deviation,-0.93,inches,real,Iowa Mesonet DSM weekly rollup,Cumulative weekly precipitation minus climatology.
2024-06-03,weekly,precision_agronomy,demo_field_01,ndvi_anomaly_index,NDVI Anomaly Index,0.02,index,illustrative,Phase 2 synthetic series,Storm variability introduces modest field divergence.
2024-06-03,weekly,precision_agronomy,demo_field_01,temp_deviation_f,Temperature Deviation,2.49,degF,real,Iowa Mesonet DSM weekly rollup,Average weekly departure from Mesonet climatology.
