station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,avg_wind_drct,min_rh,avg_rh,max_rh,snow_in,snowd_in,min_feel,avg_feel,max_feel,max_wind_speed_kts,max_wind_gust_kts,srad_mj,climo_high_f,climo_low_f,climo_precip_in
DSM,2024-05-01,68.0,51.0,54.0,37.0,0.11,6.8649125,356.5793,33.042492,61.94859,86.11859,0.0,0.0,51.0,59.507458,67.0,15.641572,23.462358,None,67.1,46.3,0.17
DSM,2024-05-02,63.0,52.0,59.0,45.0,0.49,8.081479,15.794383,64.11514,80.76247,96.41831,0.0,0.0,52.0,57.38007,63.0,15.641572,20.85543,None,67.5,46.7,0.17
DSM,2024-05-03,73.0,41.0,51.0,34.0,0.0,6.256629,118.486885,25.72746,57.336914,100.0,0.0,0.0,41.0,60.10303,73.0,15.641572,20.85543,None,67.8,47.1,0.17
DSM,2024-05-04,63.0,48.0,57.2,42.0,0.53,8.515967,299.91293,53.489223,72.448395,89.80336,0.0,0.0,49.0,57.71958,63.0,20.85543,27.80724,None,68.2,47.5,0.16
DSM,2024-05-05,67.0,42.0,47.0,39.0,0.0,4.6924715,108.78699,39.83199,61.670162,92.58222,0.0,0.0,41.26356,56.92043,67.0,12.165668,15.641572,None,68.5,47.9,0.17
DSM,2024-05-06,75.0,53.0,60.0,44.0,0.02,13.034643,123.94472,59.331654,67.15075,78.22015,0.0,0.0,54.0,64.517075,73.0,22.593382,33.0211,None,68.8,48.3,0.16
DSM,2024-05-07,77.0,56.0,61.0,39.0,0.86,12.165668,230.58412,27.381897,58.810787,96.4786,0.0,0.0,56.0,65.567245,76.0,28.676216,40.841885,None,69.2,48.7,0.16
DSM,2024-05-08,81.0,56.0,59.0,42.0,0.14,7.820786,108.53289,32.413998,54.997646,86.77358,0.0,0.0,57.0,67.3352,79.55018,19.117477,24.331335,None,69.5,49.1,0.17
DSM,2024-05-09,68.0,50.0,57.0,48.0,0.01,7.0387077,335.6227,60.46652,77.46913,89.54945,0.0,0.0,51.0,58.73087,66.0,15.641572,26.069286,None,69.9,49.5,0.17
DSM,2024-05-10,77.0,48.0,51.0,38.0,0.0,7.646991,288.30072,30.433504,57.493427,92.86074,0.0,0.0,47.271988,63.353783,75.0,18.2485,26.069286,None,70.2,49.9,0.17
DSM,2024-05-11,81.0,50.0,44.0,38.0,0.0,7.0387077,273.2669,23.076838,43.363308,71.17694,0.0,0.0,50.0,66.89993,79.0,19.117477,26.938263,None,70.6,50.3,0.17
DSM,2024-05-12,86.0,57.0,59.0,44.0,0.1,8.255275,199.97629,27.696404,53.716213,80.90465,0.0,0.0,58.0,69.842285,82.60614,25.200312,33.0211,None,71.0,50.8,0.17
DSM,2024-05-13,70.0,61.0,61.0,49.0,0.23,5.0400624,13.765326,56.410236,75.05113,93.15243,0.0,0.0,61.0,64.710106,69.0,14.772596,19.986454,None,71.3,51.2,0.18
DSM,2024-05-14,75.0,59.0,60.0,48.0,0.0,7.125605,48.500942,57.368793,67.01175,86.66759,0.0,0.0,60.0,65.76934,74.0,13.90362,22.593382,None,71.7,51.6,0.18
DSM,2024-05-15,76.0,54.0,61.0,51.0,0.0001,6.256629,161.70024,51.61615,74.32628,96.46368,0.0,0.0,55.0,65.195816,75.0,13.90362,20.85543,None,72.0,52.0,0.17
DSM,2024-05-16,78.0,61.0,59.0,47.0,0.0,6.95181,270.948,36.11084,61.622177,93.12406,0.0,0.0,61.0,68.74077,78.0,14.772596,20.85543,None,72.4,52.4,0.17
DSM,2024-05-17,83.0,56.0,56.0,48.0,0.0,6.7780147,172.67166,31.677114,51.951794,74.73801,0.0,0.0,59.0,71.04755,81.50871,17.379524,24.331335,None,72.7,52.8,0.17
DSM,2024-05-18,89.0,65.0,63.0,43.0,0.0,10.427715,226.91605,33.99657,51.67584,75.47732,0.0,0.0,65.0,77.47609,89.01218,19.986454,26.069286,None,73.1,53.2,0.18
DSM,2024-05-19,76.0,60.0,60.0,37.0,0.74,7.4731956,75.6676,32.87187,52.527576,89.926926,0.0,0.0,60.0,68.01672,74.0,20.85543,30.41417,None,73.5,53.6,0.17
